SYMBOL,ISIN
20MICRONS,INE144J01027
360ONE,INE466L01038
3MINDIA,INE470A01017
5PAISA,INE618L01018
63MOONS,INE111B01023
AADHARHFC,INE883F01010
AARTIDRUGS,INE767A01016
AARTIIND,INE769A01020
AARTIPHARM,INE0LRU01027
AAVAS,INE216P01012
AFSL,INE00ZE01026
ACC,INE012A01025
ACCELYA,INE793A01012
ACMESOLAR,INE622W01025
ACE,INE731H01025
ADANIENSOL,INE931S01010
ADANIENT,INE423A01024
ADANIGREEN,INE364U01010
ADANIPORTS,INE742F01042
ADANIPOWER,INE814H01029
ATGL,INE399L01023
ADFFOODS,INE982B01027
ABCAPITAL,INE674K01013
BIRLAMONEY,INE865C01022
ABREL,INE055A01016
ABSLAMC,INE404A01024
AVL,INE679V01027
ADOR,INE045A01017
ADVENZYMES,INE837H01020
AEGISLOG,INE208C01025
AEROFLEX,INE024001021
AETHER,INE0BWX01014
AFCONS,INE101I01011
AFFLE,INE00WC01027
AFFORDABLE,INE692Z01013
AGARIND,INE204E01012
AGI,INE415A01038
AGIIL,INE976R01033
AHLUCONT,INE758C01029
AIAENG,INE212H01026
AJANTPHARM,INE031B01049
AJAXENGG,INE274Y01021
AJMERA,INE298G01035
AKSHARCHEM,INE542B01011
AKUMS,INE09XN01023
AKZOINDIA,INE133A01011
ALBERTDAVD,INE155C01010
ALEMBICLTD,INE426A01027
APLLTD,INE901L01018
ALICON,INE062D01024
ALIVUS,INE03Q201024
ALKEM,INE540L01014
ALKYLAMINE,INE150B01039
ALLDIGI,INE835G01018
ABDL,INE552Z01027
ADSL,INE102I01027
ALPHAGEO,INE137C01018
ARE&M,INE885A01032
AMBER,INE371P01015
AMBIKCO,INE540G01014
AMBUJACEM,INE079A01024
AMNPLST,INE275D01022
AMRUTANJAN,INE098F01031
ANANDRATHI,INE463V01026
ANANTRAJ,INE242C01024
ANGELONE,INE732I01013
APCL,INE071F01012
AWHCL,INE01BK01022
ANUHPHR,INE489G01022
ANURAS,INE930P01018
APARINDS,INE372A01015
APCOTEXIND,INE116A01032
PARKHOTELS,INE988S01028
APEX,INE346W01013
APLAPOLLO,INE702C01027
APOLLOHOSP,INE437A01024
APOLLO,INE713T01028
APOLLOPIPE,INE126J01016
APOLLOTYRE,INE438A01022
APTUS,INE852O01025
ACI,INE128X01021
ARCHIDPLY,INE877I01016
ARIES,INE298I01015
ARIHANTSUP,INE643K01018
ARKADE,INE0QRL01017
ARMANFIN,INE109C01017
ARTEMISMED,INE025R01021
ARVINDFASN,INE955V01021
ARVIND,INE034A01011
ARVSMART,INE034S01021
ASAHIINDIA,INE439A01020
ASHAPURMIN,INE348A01023
ASHIANA,INE365D01021
ASHOKLEY,INE208A01029
ASHOKA,INE442H01029
ASIANENE,INE276G01015
AHLEAST,INE926K01017
ASIANPAINT,INE021A01026
ASKAUTOLTD,INE491J01022
ASALCBR,INE073G01016
ASTEC,INE563J01010
ASTERDM,INE914M01019
ASTRAMICRO,INE386C01029
ASTRAL,INE006I01046
ASTRAZEN,INE203A01020
ATHERENERG,INE0LEZ01016
ATULAUTO,INE951D01028
ATUL,INE100A01010
AUBANK,INE949L01017
AURIONPRO,INE132H01018
AUROPHARMA,INE406A01037
AURUM,INE898S01029
AUSOMENT,INE218C01016
AIIL,INE206F01022
AUTOAXLES,INE449A01011
ASAL,INE900C01027
AVADHSUGAR,INE349W01017
AVALON,INE0LCL01028
AVANTEL,INE005B01027
AVANTIFEED,INE871C01038
DMART,INE192R01011
AVG,INE680Z01018
AVROIND,INE652Z01017
AWFIS,INE108V01019
AWL,INE699H01024
AXISBANK,INE238A01034
AYMSYNTEX,INE193B01039
AZAD,INE02IJ01035
BBTCL,INE01EE01011
STYLEBAAZA,INE01FR01028
BAJAJ-AUTO,INE917I01010
BAJAJCON,INE933K01021
BAJAJELEC,INE193E01025
BAJFINANCE,INE296A01032
BAJAJFINSV,INE918I01026
BAJAJHCARE,INE411U01027
BAJAJHLDNG,INE118A01012
BAJAJHFL,INE377Y01014
BAJEL,INE0KQN01018
BALAMINES,INE050E01027
BALKRISIND,INE787D01026
BALMLAWRIE,INE164A01016
BALRAMCHIN,INE119A01028
BALUFORGE,INE011E01029
BANARBEADS,INE655B01011
BANCOINDIA,INE213C01025
BANDHANBNK,INE545U01014
BANKBARODA,INE028A01039
BANKINDIA,INE084A01016
BANARISUG,INE459A01010
BANSALWIRE,INE0B9K01025
BASF,INE373A01013
BATAINDIA,INE176A01028
BAYERCROP,INE462A01022
BEDMUTHA,INE844K01012
BLAL,INE0N7W01012
BEML,INE258A01024
BERGEPAINT,INE463A01038
BFINVEST,INE878K01010
BHAGERIA,INE354C01027
BHAGCHEM,INE414D01027
BEPL,INE922A01025
BBL,INE464A01036
BDL,INE171Z01026
BEL,INE263A01024
BHARATFORG,INE465A01025
BHEL,INE257A01026
BPCL,INE029A01011
BHARATRAS,INE838B01021
BHARATWIRE,INE316L01019
BHARTIARTL,INE397D01024
BHARTIHEXA,INE343G01021
BIKAJI,INE00E101023
BIOCON,INE376G01013
BIRLACABLE,INE800A01015
BIRLACORPN,INE340A01012
BIRLANU,INE557A01011
BSOFT,INE836A01035
BBOX,INE676A01027
BLISSGVS,INE416D01022
BLSE,INE0NLT01010
BLS,INE153T01027
BLUEDART,INE233B01017
BLUEJET,INE0KBH01020
BLUESTARCO,INE472A01039
BBTC,INE050A01025
BOMDYEING,INE032A01023
BOROLTD,INE02PY01013
BORORENEW,INE666D01022
BOROSCI,INE02L001032
BOSCHLTD,INE323A01026
FIRSTCRY,INE02RE01045
BCONCEPTS,INE977Y01011
BRIGADE,INE791I01019
BRITANNIA,INE216A01030
BUTTERFLY,INE295F01017
MAPMYINDIA,INE0BV301023
CAMLINFINE,INE052I01032
CAMPUS,INE278Y01022
